Current Track,Apr-26 (03/30/26-04/24/26),May-26 (04/27/26-05/22/26),Jun-26 (05/25/26-06/19/26),Aug-26 (07/27/26-08/21/26),Sep-26 (08/24/26-09/18/26),Oct-26 (09/21/26-10/16/26),Nov-26 (10/19/26-11/13/26),Jan-27 (01/04/27-01/29/27),Feb-27 (02/01/27-02/26/27),Mar-27 (03/01/27-03/26/27)
Track 32,Pediatrics Clerkship @ Nemours Children's Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital,Primary Care Medicine Clerkship @ To Be Determined,Radiology Clerkship @ HCA Florida Aventura Hospital,Psychiatry Clerkship @ HCA Florida Aventura Hospital,Anesthesia Selective (Westside) @ HCA Florida Westside Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Obstetrics and Gynecology Clerkship @ To Be Determined
Track 33,Anesthesia Selective (Kendall) @ HCA Florida Kendall Hospital,Internal Medicine Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Aventura Hospital,Radiology Clerkship @ HCA Florida Kendall Hospital,Primary Care Medicine Clerkship @ To Be Determined,Psychiatry Clerkship @ HCA Florida JFK North Hospital,Pediatrics Clerkship @ Nemours Children's Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Obstetrics and Gynecology Clerkship @ To Be Determined
Track 34,Pediatrics Clerkship @ Nemours Children's Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Primary Care Medicine Clerkship @ To Be Determined,Psychiatry Clerkship @ HCA Florida Aventura Hospital,Anesthesia Selective (Kendall) @ HCA Florida Kendall Hospital,Radiology Clerkship @ HCA Florida Aventura Hospital,Obstetrics and Gynecology Clerkship @ To Be Determined
Track 35,Pediatrics Clerkship @ Nemours Children's Hospital,Internal Medicine Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Aventura Hospital,Surgery Clerkship @ HCA Florida Aventura Hospital,Surgery Clerkship @ HCA Florida Aventura Hospital,Primary Care Medicine Clerkship @ Aventura,Psychiatry Clerkship @ HCA Florida Aventura Hospital,Surgical Selective (Ortho) @ HCA Florida Kendall Hospital,Radiology Clerkship @ HCA Florida Aventura Hospital,Obstetrics and Gynecology Clerkship @ To Be Determined
Track 36,Pediatrics Clerkship @ Nemours Children's Hospital,Internal Medicine Clerkship @ HCA Florida Westside Hospital,Internal Medicine Clerkship @ HCA Florida Westside Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Radiology Clerkship @ HCA Florida Aventura Hospital,Psychiatry Clerkship @ HCA Florida Aventura Hospital,Anesthesia Selective (Westside) @ HCA Florida Westside Hospital,Obstetrics and Gynecology Clerkship @ To Be Determined,Primary Care Medicine Clerkship @ To Be Determined
Track 37,Anesthesia Selective (Westside) @ HCA Florida Westside Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Radiology Clerkship @ HCA Florida Aventura Hospital,Psychiatry Clerkship @ HCA Florida JFK North Hospital,Pediatrics Clerkship @ Nemours Children's Hospital,Obstetrics and Gynecology Clerkship @ To Be Determined,Primary Care Medicine Clerkship @ To Be Determined
Track 38,Surgery Clerkship @ HCA Florida Westside Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Radiology Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital,Primary Care Medicine Clerkship @ To Be Determined,Obstetrics and Gynecology Clerkship @ To Be Determined,Pediatrics Clerkship @ Nemours Children's Hospital,Anesthesia Selective (Westside) @ HCA Florida Westside Hospital,Psychiatry Clerkship @ HCA Florida JFK North Hospital
Track 39,Surgery Clerkship @ HCA Florida Westside Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Psychiatry Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Aventura Hospital,Radiology Clerkship @ HCA Florida Aventura Hospital,Obstetrics and Gynecology Clerkship @ To Be Determined,Pediatrics Clerkship @ Nemours Children's Hospital,Surgical Intensive Care Unit Selective @ HCA Florida Kendall Hospital,Primary Care Medicine Clerkship @ To Be Determined
Track 40,Surgery Clerkship @ HCA Florida Westside Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Psychiatry Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital,Radiology Clerkship @ HCA Florida Aventura Hospital,Obstetrics and Gynecology Clerkship @ To Be Determined,Pediatrics Clerkship @ Nemours Children's Hospital,Primary Care Medicine Clerkship @ To Be Determined,Nephrology Selective @ HCA Florida Westside Hospital
Track 41,Surgery Clerkship @ HCA Florida Aventura Hospital,Surgery Clerkship @ HCA Florida Aventura Hospital,Primary Care Medicine Clerkship @ To Be Determined,Internal Medicine Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Aventura Hospital,Trauma Surgery/Surgical Critical Care Selective @ HCA Florida Kendall Hospital,Radiology Clerkship @ HCA Florida Aventura Hospital,Pediatrics Clerkship @ Nemours Children's Hospital,Obstetrics and Gynecology Clerkship @ To Be Determined,Psychiatry Clerkship @ HCA Florida JFK North Hospital
Track 42,Surgery Clerkship @ HCA Florida Kendall Hospital,Surgery Clerkship @ HCA Florida Kendall Hospital,Psychiatry Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Aventura Hospital,Obstetrics and Gynecology Clerkship @ To Be Determined,Radiology Clerkship @ HCA Florida Aventura Hospital,Surgical Selective (Plastics) @ HCA Florida Kendall Hospital,Primary Care Medicine Clerkship @ To Be Determined,Pediatrics Clerkship @ Nemours Children's Hospital
Track 43,Psychiatry Clerkship @ HCA Florida Aventura Hospital,Primary Care Medicine Clerkship @ To Be Determined,Pulmonology Selective @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital,Obstetrics and Gynecology Clerkship @ To Be Determined,Radiology Clerkship @ HCA Florida Aventura Hospital,Surgery Clerkship @ HCA Florida Kendall Hospital,Surgery Clerkship @ HCA Florida Kendall Hospital,Pediatrics Clerkship @ Nemours Children's Hospital
Track 44,Surgery Clerkship @ HCA Florida Westside Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Psychiatry Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital,Obstetrics and Gynecology Clerkship @ To Be Determined,Radiology Clerkship @ HCA Florida Aventura Hospital,Anesthesia Selective (Kendall) @ HCA Florida Kendall Hospital,Primary Care Medicine Clerkship @ To Be Determined,Pediatrics Clerkship @ Nemours Children's Hospital
Track 45,Obstetrics and Gynecology Clerkship @ To Be Determined,Psychiatry Clerkship @ HCA Florida JFK North Hospital,Pathology Selective @ HCA Florida Westside Hospital,Internal Medicine Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Aventura Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Radiology Clerkship @ HCA Florida Aventura Hospital,Primary Care Medicine Clerkship @ To Be Determined,Pediatrics Clerkship @ Nemours Children's Hospital
Track 46,Psychiatry Clerkship @ HCA Florida Aventura Hospital,Obstetrics and Gynecology Clerkship @ To Be Determined,Ophthalmology Selective @ Ft. Lauderdale Eye Institute,Surgery Clerkship @ HCA Florida Aventura Hospital,Surgery Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Aventura Hospital,Radiology Clerkship @ HCA Florida Aventura Hospital,Primary Care Medicine Clerkship @ Aventura,Pediatrics Clerkship @ Nemours Children's Hospital
Track 47,Pathology Selective @ HCA Florida Westside Hospital,Obstetrics and Gynecology Clerkship @ To Be Determined,Radiology Clerkship @ HCA Florida Aventura Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Internal Medicine Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Aventura Hospital,Primary Care Medicine Clerkship @ To Be Determined,Pediatrics Clerkship @ Nemours Children's Hospital,Psychiatry Clerkship @ HCA Florida Aventura Hospital
Track 48,Infectious Disease Selective @ HCA Florida Kendall Hospital,Primary Care Medicine Clerkship @ To Be Determined,Psychiatry Clerkship @ HCA Florida JFK North Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital,Radiology Clerkship @ HCA Florida Aventura Hospital,Obstetrics and Gynecology Clerkship @ To Be Determined,Pediatrics Clerkship @ Nemours Children's Hospital
Track 49,Psychiatry Clerkship @ HCA Florida Aventura Hospital,Primary Care Medicine Clerkship @ To Be Determined,Obstetrics and Gynecology Clerkship @ To Be Determined,Surgery Clerkship @ HCA Florida Westside Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital,Pulmonology Selective @ HCA Florida Aventura Hospital,Radiology Clerkship @ HCA Florida Aventura Hospital,Pediatrics Clerkship @ Nemours Children's Hospital
Track 50,Psychiatry Clerkship @ HCA Florida Aventura Hospital,Primary Care Medicine Clerkship @ To Be Determined,Pediatrics Clerkship @ Nemours Children's Hospital,Obstetrics and Gynecology Clerkship @ To Be Determined,Neonatal Intensive Care Unit Selective @ HCA Florida Mercy Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital,Surgery Clerkship @ HCA Florida Kendall Hospital,Surgery Clerkship @ HCA Florida Kendall Hospital,Radiology Clerkship @ HCA Florida Westside Hospital
Track 51,Neonatal Intensive Care Unit Selective @ HCA Florida Mercy Hospital,Primary Care Medicine Clerkship @ To Be Determined,Pediatrics Clerkship @ Nemours Children's Hospital,Obstetrics and Gynecology Clerkship @ To Be Determined,Radiology Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital,Surgery Clerkship @ HCA Florida Kendall Hospital,Surgery Clerkship @ HCA Florida Kendall Hospital,Psychiatry Clerkship @ HCA Florida Aventura Hospital
Track 52,Psychiatry Clerkship @ HCA Florida Aventura Hospital,Pediatrics Clerkship @ Nemours Children's Hospital,Anesthesia Selective (Westside) @ HCA Florida Westside Hospital,Primary Care Medicine Clerkship @ To Be Determined,Obstetrics and Gynecology Clerkship @ To Be Determined,Internal Medicine Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Aventura Hospital,Surgery Clerkship @ HCA Florida Aventura Hospital,Surgery Clerkship @ HCA Florida Aventura Hospital,Radiology Clerkship @ HCA Florida Aventura Hospital
Track 53,Psychiatry Clerkship @ HCA Florida JFK North Hospital,Pediatrics Clerkship @ Nemours Children's Hospital,Neonatal Intensive Care Unit Selective @ HCA Florida Mercy Hospital,Primary Care Medicine Clerkship @ To Be Determined,Obstetrics and Gynecology Clerkship @ To Be Determined,Internal Medicine Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Aventura Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Radiology Clerkship @ HCA Florida Aventura Hospital
Track 54,Psychiatry Clerkship @ HCA Florida JFK North Hospital,Pediatrics Clerkship @ Nemours Children's Hospital,Primary Care Medicine Clerkship @ To Be Determined,Neurology Selective @ HCA Florida Westside Hospital,Obstetrics and Gynecology Clerkship @ To Be Determined,Surgery Clerkship @ HCA Florida Westside Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Radiology Clerkship @ HCA Florida Kendall Hospital,Internal Medicine Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Aventura Hospital
Track 55,Radiology Clerkship @ HCA Florida Kendall Hospital,Pediatrics Clerkship @ Nemours Children's Hospital,Primary Care Medicine Clerkship @ To Be Determined,Anesthesia Selective (Westside) @ HCA Florida Westside Hospital,Obstetrics and Gynecology Clerkship @ To Be Determined,Surgery Clerkship @ HCA Florida Westside Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Psychiatry Clerkship @ HCA Florida JFK North Hospital,Internal Medicine Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Aventura Hospital
Track 56,Pulmonology Selective @ HCA Florida Aventura Hospital,Pediatrics Clerkship @ Nemours Children's Hospital,Obstetrics and Gynecology Clerkship @ To Be Determined,Primary Care Medicine Clerkship @ To Be Determined,Radiology Clerkship @ HCA Florida Westside Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Psychiatry Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital
Track 57,Urology Selective @ Mount Sinai Miami Beach,Pediatrics Clerkship @ Nemours Children's Hospital,Primary Care Medicine Clerkship @ To Be Determined,Radiology Clerkship @ HCA Florida Aventura Hospital,Obstetrics and Gynecology Clerkship @ To Be Determined,Surgery Clerkship @ HCA Florida Westside Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Psychiatry Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Aventura Hospital
Track 58,Ophthalmology Selective @ Ft. Lauderdale Eye Institute,Pediatrics Clerkship @ Nemours Children's Hospital,Primary Care Medicine Clerkship @ To Be Determined,Psychiatry Clerkship @ HCA Florida JFK North Hospital,Radiology Clerkship @ HCA Florida Aventura Hospital,Surgery Clerkship @ HCA Florida Kendall Hospital,Surgery Clerkship @ HCA Florida Kendall Hospital,Obstetrics and Gynecology Clerkship @ To Be Determined,Internal Medicine Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Aventura Hospital
Track 59,Psychiatry Clerkship @ HCA Florida JFK North Hospital,Primary Care Medicine Clerkship @ To Be Determined,Obstetrics and Gynecology Clerkship @ To Be Determined,Infectious Disease Selective @ HCA Florida Kendall Hospital,Pediatrics Clerkship @ Nemours Children's Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Radiology Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital
Track 60,Surgery Clerkship @ HCA Florida Westside Hospital,Surgery Clerkship @ HCA Florida Westside Hospital,Radiology Clerkship @ HCA Florida Westside Hospital,Pediatrics Clerkship @ Nemours Children's Hospital,Obstetrics and Gynecology Clerkship @ To Be Determined,Surgical Intensive Care Unit Selective @ HCA Florida Kendall Hospital,Primary Care Medicine Clerkship @ To Be Determined,Psychiatry Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Aventura Hospital
Track 61,Surgery Clerkship @ HCA Florida Kendall Hospital,Surgery Clerkship @ HCA Florida Kendall Hospital,Trauma Surgery/Surgical Critical Care Selective @ HCA Florida Kendall Hospital,Pediatrics Clerkship @ Nemours Children's Hospital,Radiology Clerkship @ HCA Florida Kendall Hospital,Primary Care Medicine Clerkship @ To Be Determined,Obstetrics and Gynecology Clerkship @ To Be Determined,Psychiatry Clerkship @ HCA Florida Aventura Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital,Internal Medicine Clerkship @ HCA Florida Kendall Hospital